y_val,y_pred_dummy
7296,29589.66334546848
20663,29589.66334546848
32852,29589.66334546848
40327,29589.66334546848
50356,29589.66334546848
36949,29589.66334546848
40375,29589.66334546848
39858,29589.66334546848
30081,29589.66334546848
39370,29589.66334546848
46815,29589.66334546848
49533,29589.66334546848
20592,29589.66334546848
28537,29589.66334546848
22065,29589.66334546848
15210,29589.66334546848
31032,29589.66334546848
16593,29589.66334546848
31513,29589.66334546848
28401,29589.66334546848
33691,29589.66334546848
25809,29589.66334546848
15964,29589.66334546848
23325,29589.66334546848
10557,29589.66334546848
13101,29589.66334546848
48745,29589.66334546848
57191,29589.66334546848
27180,29589.66334546848
14335,29589.66334546848
27339,29589.66334546848
17861,29589.66334546848
47568,29589.66334546848
41320,29589.66334546848
28009,29589.66334546848
37190,29589.66334546848
15022,29589.66334546848
14601,29589.66334546848
40527,29589.66334546848
33281,29589.66334546848
65634,29589.66334546848
34399,29589.66334546848
40998,29589.66334546848
45610,29589.66334546848
51974,29589.66334546848
31037,29589.66334546848
36817,29589.66334546848
25641,29589.66334546848
20044,29589.66334546848
17449,29589.66334546848
59612,29589.66334546848
56586,29589.66334546848
20817,29589.66334546848
8531,29589.66334546848
17287,29589.66334546848
25975,29589.66334546848
18426,29589.66334546848
31444,29589.66334546848
9917,29589.66334546848
23739,29589.66334546848
18063,29589.66334546848
30761,29589.66334546848
34260,29589.66334546848
28263,29589.66334546848
22606,29589.66334546848
27929,29589.66334546848
16777,29589.66334546848
19499,29589.66334546848
9163,29589.66334546848
26742,29589.66334546848
16072,29589.66334546848
31881,29589.66334546848
41662,29589.66334546848
13348,29589.66334546848
28965,29589.66334546848
37217,29589.66334546848
22186,29589.66334546848
26544,29589.66334546848
5760,29589.66334546848
22503,29589.66334546848
30402,29589.66334546848
32797,29589.66334546848
51370,29589.66334546848
7831,29589.66334546848
26172,29589.66334546848
45459,29589.66334546848
11234,29589.66334546848
37567,29589.66334546848
32401,29589.66334546848
49353,29589.66334546848
20057,29589.66334546848
31767,29589.66334546848
38306,29589.66334546848
29627,29589.66334546848
43147,29589.66334546848
53493,29589.66334546848
59796,29589.66334546848
75959,29589.66334546848
48327,29589.66334546848
27795,29589.66334546848
47656,29589.66334546848
34553,29589.66334546848
25020,29589.66334546848
42032,29589.66334546848
32285,29589.66334546848
21109,29589.66334546848
28044,29589.66334546848
15466,29589.66334546848
20194,29589.66334546848
22869,29589.66334546848
37253,29589.66334546848
26595,29589.66334546848
37266,29589.66334546848
28304,29589.66334546848
14759,29589.66334546848
25557,29589.66334546848
23695,29589.66334546848
41193,29589.66334546848
56289,29589.66334546848
10614,29589.66334546848
20269,29589.66334546848
43491,29589.66334546848
50621,29589.66334546848
34485,29589.66334546848
45439,29589.66334546848
25684,29589.66334546848
25454,29589.66334546848
36575,29589.66334546848
28326,29589.66334546848
35525,29589.66334546848
14368,29589.66334546848
55276,29589.66334546848
74363,29589.66334546848
38176,29589.66334546848
34046,29589.66334546848
50764,29589.66334546848
24208,29589.66334546848
48220,29589.66334546848
38075,29589.66334546848
63218,29589.66334546848
52853,29589.66334546848
22215,29589.66334546848
24597,29589.66334546848
41570,29589.66334546848
61554,29589.66334546848
29966,29589.66334546848
36422,29589.66334546848
52322,29589.66334546848
32214,29589.66334546848
31080,29589.66334546848
26555,29589.66334546848
14929,29589.66334546848
31379,29589.66334546848
11596,29589.66334546848
11953,29589.66334546848
40060,29589.66334546848
16765,29589.66334546848
42600,29589.66334546848
29265,29589.66334546848
75069,29589.66334546848
19118,29589.66334546848
31760,29589.66334546848
26378,29589.66334546848
16087,29589.66334546848
25224,29589.66334546848
85319,29589.66334546848
18189,29589.66334546848
42700,29589.66334546848
63153,29589.66334546848
48590,29589.66334546848
58792,29589.66334546848
29706,29589.66334546848
35702,29589.66334546848
66333,29589.66334546848
21996,29589.66334546848
28549,29589.66334546848
42665,29589.66334546848
44386,29589.66334546848
36043,29589.66334546848
16079,29589.66334546848
36333,29589.66334546848
33177,29589.66334546848
35877,29589.66334546848
29389,29589.66334546848
41929,29589.66334546848
30405,29589.66334546848
44098,29589.66334546848
52665,29589.66334546848
42831,29589.66334546848
38383,29589.66334546848
42538,29589.66334546848
37880,29589.66334546848
34847,29589.66334546848
31205,29589.66334546848
17898,29589.66334546848
42922,29589.66334546848
37878,29589.66334546848
37975,29589.66334546848
64056,29589.66334546848
25190,29589.66334546848
27076,29589.66334546848
26021,29589.66334546848
18825,29589.66334546848
13350,29589.66334546848
18916,29589.66334546848
31956,29589.66334546848
52396,29589.66334546848
22880,29589.66334546848
64108,29589.66334546848
30153,29589.66334546848
11045,29589.66334546848
14764,29589.66334546848
28875,29589.66334546848
59074,29589.66334546848
30384,29589.66334546848
37939,29589.66334546848
37664,29589.66334546848
45521,29589.66334546848
57820,29589.66334546848
19144,29589.66334546848
37991,29589.66334546848
64514,29589.66334546848
77063,29589.66334546848
57498,29589.66334546848
43295,29589.66334546848
44914,29589.66334546848
29693,29589.66334546848
44419,29589.66334546848
100678,29589.66334546848
44934,29589.66334546848
37688,29589.66334546848
43227,29589.66334546848
62088,29589.66334546848
26469,29589.66334546848
26925,29589.66334546848
16418,29589.66334546848
11390,29589.66334546848
34350,29589.66334546848
38338,29589.66334546848
36944,29589.66334546848
55918,29589.66334546848
24671,29589.66334546848
47135,29589.66334546848
32606,29589.66334546848
44522,29589.66334546848
10742,29589.66334546848
42811,29589.66334546848
16447,29589.66334546848
33649,29589.66334546848
42216,29589.66334546848
51169,29589.66334546848
15692,29589.66334546848
44287,29589.66334546848
37639,29589.66334546848
31232,29589.66334546848
54493,29589.66334546848
81051,29589.66334546848
35283,29589.66334546848
36880,29589.66334546848
22264,29589.66334546848
30698,29589.66334546848
54928,29589.66334546848
91946,29589.66334546848
40141,29589.66334546848
47952,29589.66334546848
64035,29589.66334546848
15787,29589.66334546848
17945,29589.66334546848
51558,29589.66334546848
54942,29589.66334546848
30228,29589.66334546848
22051,29589.66334546848
51608,29589.66334546848
32341,29589.66334546848
52517,29589.66334546848
44106,29589.66334546848
53566,29589.66334546848
40499,29589.66334546848
42805,29589.66334546848
27609,29589.66334546848
19503,29589.66334546848
30183,29589.66334546848
55112,29589.66334546848
19786,29589.66334546848
45658,29589.66334546848
17998,29589.66334546848
41062,29589.66334546848
68189,29589.66334546848
37424,29589.66334546848
31933,29589.66334546848
18236,29589.66334546848
15790,29589.66334546848
20643,29589.66334546848
40219,29589.66334546848
58192,29589.66334546848
55462,29589.66334546848
32290,29589.66334546848
37387,29589.66334546848
94255,29589.66334546848
61710,29589.66334546848
74875,29589.66334546848
71793,29589.66334546848
27656,29589.66334546848
53843,29589.66334546848
21504,29589.66334546848
28306,29589.66334546848
55400,29589.66334546848
116770,29589.66334546848
52981,29589.66334546848
90751,29589.66334546848
35034,29589.66334546848
57048,29589.66334546848
50766,29589.66334546848
74844,29589.66334546848
23835,29589.66334546848
41822,29589.66334546848
56253,29589.66334546848
26784,29589.66334546848
40020,29589.66334546848
24069,29589.66334546848
23725,29589.66334546848
43310,29589.66334546848
51715,29589.66334546848
40451,29589.66334546848
43485,29589.66334546848
20839,29589.66334546848
15969,29589.66334546848
16399,29589.66334546848
18021,29589.66334546848
16721,29589.66334546848
24068,29589.66334546848
13485,29589.66334546848
35671,29589.66334546848
15887,29589.66334546848
34742,29589.66334546848
15111,29589.66334546848
17547,29589.66334546848
27942,29589.66334546848
13816,29589.66334546848
11850,29589.66334546848
17696,29589.66334546848
31961,29589.66334546848
51612,29589.66334546848
43683,29589.66334546848
15175,29589.66334546848
26086,29589.66334546848
16189,29589.66334546848
37527,29589.66334546848
47438,29589.66334546848
72353,29589.66334546848
49407,29589.66334546848
18161,29589.66334546848
88528,29589.66334546848
50465,29589.66334546848
30283,29589.66334546848
27754,29589.66334546848
17218,29589.66334546848
